header timestamp,object.id,class_label_pred,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z,velocity.linear.x,velocity.angular.z,yaw,dimension_x,dimension_y,dimension_z
1572937878.42755,12252,Unknown Small,173.034424,-12.727554,3.136216,0.948613,0,0,0.316437,-0.013628,0.000625,0.643943,0.145632,0.444191,1.721711
1572937878.42755,7475,Car,140.165039,10.340485,2.221198,0.999999,0,0,0.001671,21.999945,0,0.003341,0.439657,1.461869,1.055488
1572937878.42755,4124,Unknown Big,25.187012,5.4931,0.839573,0.999999,0,0,-0.00153,11.603271,0,-0.003061,3.790635,3.877831,1.648425
1572937878.42755,4125,Null,5.45018,2.073929,0.5,0.99554,0,0,0.09434,4.433086,0,0.188961,4.101932,0.925804,1
1572937878.42755,4101,Null,220.503662,11.325859,2.893476,0.999663,0,0,-0.025972,17.83996,0,-0.051951,7.293758,2.687902,3.039766
1572937878.42755,4104,Null,-6.68408,-0.166661,0.5,0.999891,0,0,-0.014753,3.438581,0,-0.029507,1.847082,2.190949,1
1572937878.42755,155,Null,9.527405,5.372086,0.121368,0.999949,0,0,-0.010136,10.319317,0,-0.020273,3.991794,2.165414,1.757265
1572937878.42755,162,Null,-4.713745,-4.402771,0.5,0.999005,0,0,0.044592,-0.212131,0,0.089214,3.7825,1.205861,1
1572937878.52746,4101,Truck,221.689209,11.340181,3.166648,0.999669,0,0,-0.025737,17.882017,0,-0.051479,7.293758,2.687902,3.039766
1572937878.52746,12236,Unknown Small,130.475342,-5.998708,1.693887,0.487567,0,0,0.873086,-0.242785,0.019896,2.122992,0.761008,1.298514,2.259654
1572937878.52746,12243,Unknown Small,159.953979,-0.731431,2.528076,0.95088,0,0,0.309559,-0.01505,0.000023,0.629459,0.455426,1.38533,2.123423
1572937878.52746,7476,Van,118.065674,-0.784531,1.375943,0.999998,0,0,0.001913,18.751102,0,0.003825,0.923262,1.602719,1.651396
1572937878.52746,12246,Unknown Small,91.581116,-14.726118,0.604375,0.945729,0,0,0.324956,0.010429,0.000877,0.66193,0.458286,0.369221,0.707135
1572937878.52746,12248,Unknown Small,82.137329,-19.20895,0.541751,0.810626,0,0,0.585564,-0.090985,0.002168,1.251152,0.400112,0.260976,0.67017
1572937878.52746,12250,Unknown Small,96.301697,-12.444124,0.750496,0.962843,0,0,0.270063,0.010939,0.000067,0.546917,0.120598,0.154593,0.707469
1572937878.52746,12251,Truck,67.547913,3.539017,2.967871,0.999955,0,0,0.009475,17.383799,-0.001378,0.018951,1.857751,1.298951,1.376292
1572937878.52746,7475,Car,141.773071,10.501968,2.229631,1,0,0,-0.000156,21.988354,0,-0.000313,0.439657,1.461869,1.055488
1572937878.52746,4124,Unknown Big,25.812683,5.482914,0.8157,0.999999,0,0,-0.001085,11.722556,0,-0.00217,3.790635,3.877831,1.648425
1572937878.52746,4125,Null,5.288681,2.14312,0.5,0.99552,0,0,0.094552,4.309778,0,0.189387,4.101932,0.925804,1
1572937878.52746,4104,Null,-6.706972,-0.162929,0.5,0.999888,0,0,-0.014961,3.532301,0,-0.029924,1.847082,2.190949,1
1572937878.52746,155,Null,10.046021,5.359182,0.121368,0.999939,0,0,-0.011082,10.510055,0,-0.022165,3.991794,2.165414,1.757265
1572937878.52746,162,Null,-5.054016,-4.492859,0.5,0.998024,0,0,0.062834,0.149773,0,0.125751,3.7825,1.205861,1
1572937878.62752,4101,Truck,222.874756,11.354502,2.871228,0.999675,0,0,-0.025501,17.903809,0,-0.051008,7.293758,2.687902,3.039766
1572937878.62752,12236,Unknown Small,129.90033,-6.003356,1.87175,0.485063,0,0,0.874479,-0.248779,0.018539,2.128722,0.761008,1.298514,2.259654
1572937878.62752,7476,Van,119.411987,-0.573853,1.446665,0.999998,0,0,0.001954,18.88257,0,0.003908,0.923262,1.602719,1.651396
1572937878.62752,12248,Unknown Small,81.588013,-19.218521,0.521128,0.780312,0,0,0.625391,-0.098919,0.002803,1.351265,0.400112,0.260976,0.67017
1572937878.62752,12251,Truck,68.554382,3.61557,2.01443,0.99993,0,0,0.011857,9.012888,-0.000553,0.023715,1.857751,1.298951,1.376292
1572937878.62752,7475,Car,143.381104,10.663467,2.375906,0.999998,0,0,-0.001983,21.971941,0,-0.003967,0.439657,1.461869,1.055488
1572937878.62752,4124,Unknown Big,26.438354,5.472728,0.853778,1,0,0,-0.00064,11.796943,0,-0.001279,3.790635,3.877831,1.648425
1572937878.62752,4125,Null,5.127182,2.212303,0.5,0.9955,0,0,0.094765,4.063544,0,0.189814,4.101932,0.925804,1
1572937878.62752,4104,Null,-6.729866,-0.159197,0.5,0.999897,0,0,-0.014344,3.741518,0,-0.028688,1.847082,2.190949,1
1572937878.62752,155,Null,10.564575,5.346278,0.121368,0.999951,0,0,-0.009879,10.647682,0,-0.019758,3.991794,2.165414,1.757265
1572937878.62752,162,Null,-5.394287,-4.582939,0.5,0.99671,0,0,0.081053,0.566976,0,0.162285,3.7825,1.205861,1
1572937878.72713,4101,Truck,224.060303,11.368824,3.434403,0.999681,0,0,-0.025266,17.930134,0,-0.050537,7.293758,2.687902,3.039766
1572937878.72713,12236,Unknown Small,129.325378,-6.008005,1.595131,0.482556,0,0,0.875865,-0.224655,0.016529,2.134452,0.761008,1.298514,2.259654
1572937878.72713,7476,Van,120.758179,-0.36319,1.782249,0.999998,0,0,0.002136,19.064825,0,0.004273,0.923262,1.602719,1.651396
1572937878.72713,12248,Unknown Small,81.038696,-19.228094,0.518981,0.764416,0,0,0.644723,-0.09364,0.003527,1.401321,0.400112,0.260976,0.67017
1572937878.72713,12250,Unknown Small,95.593567,-12.442931,0.731423,0.963447,0,0,0.267899,0.053695,0.000076,0.542424,0.120598,0.154593,0.707469
1572937878.72713,12251,Truck,69.560974,3.692131,2.270289,0.998647,0,0,0.052003,6.435289,0.000389,0.104053,1.857751,1.298951,1.376292
1572937878.72713,7475,Car,144.989136,10.824951,2.131654,0.999993,0,0,-0.00381,21.962362,0,-0.007621,0.439657,1.461869,1.055488
1572937878.72713,4125,Null,4.965698,2.281494,0.5,0.995479,0,0,0.094977,3.736638,0,0.19024,4.101932,0.925804,1
1572937878.72713,4124,Null,27.064026,5.462543,0.175788,1,0,0,-0.000194,11.898504,0,-0.000388,3.790635,3.877831,1.648425
1572937878.72713,4104,Null,-6.75276,-0.155465,0.5,0.999925,0,0,-0.012284,4.062351,0,-0.024568,1.847082,2.190949,1
1572937878.72713,155,Null,11.08313,5.333375,0.121368,0.99997,0,0,-0.007726,10.854191,0,-0.015452,3.991794,2.165414,1.757265
1572937878.72713,162,Null,-5.734528,-4.673027,0.5,0.995063,0,0,0.099247,1.416058,0,0.198822,3.7825,1.205861,1
