frame seq,bag timestamp,header timestamp,position x,position y,oritentation yaw,oritentation pitch,orientation roll,velocity,ego_lane
161,1638350251.041070848,1638350251.041070848,45.2621,1.93951,0.00823938,0,0,1.14961,0
162,1638350251.141035264,1638350251.141035264,45.3688,1.94032,0.00716631,0,0,0.99723,0
163,1638350251.241016064,1638350251.241016064,45.4498,1.94082,0.00700082,0,0,0.951491,0
164,1638350251.341002240,1638350251.341002240,45.5396,1.94145,0.00693922,0,0,0.911118,0
165,1638350251.440996352,1638350251.440996352,45.6292,1.94204,0.00634402,0,0,0.906736,0
166,1638350251.540978432,1638350251.540978432,45.7199,1.94259,0.005625,0,0,0.908947,0
167,1638350251.640957184,1638350251.640957184,45.8113,1.94308,0.00536407,0,0,0.913328,0
168,1638350251.740943360,1638350251.740943360,45.9033,1.94358,0.00532549,0,0,0.903928,0
169,1638350251.840913408,1638350251.840913408,45.9936,1.94405,0.0051739,0,0,0.907775,0
170,1638350251.940888832,1638350251.940888832,46.0844,1.94451,0.00481563,0,0,0.945512,0
171,1638350252.040863744,1638350252.040863744,46.1797,1.94495,0.00429217,0,0,0.993198,0
172,1638350252.140833792,1638350252.140833792,46.2807,1.94538,0.00427812,0,0,1.05343,0
173,1638350252.240813568,1638350252.240813568,46.3884,1.94584,0.00462623,0,0,1.18488,0
174,1638350252.340779008,1638350252.340779008,46.5107,1.94641,0.00462524,0,0,1.29982,0
175,1638350252.440756992,1638350252.440756992,46.6436,1.94705,0.00510386,0,0,1.47252,0
176,1638350252.540733184,1638350252.540733184,46.7987,1.94791,0.00590297,0,0,1.63821,0
177,1638350252.640702720,1638350252.640702720,46.9709,1.94903,0.00703159,0,0,1.81988,0
178,1638350252.740685568,1638350252.740685568,47.1613,1.95052,0.00860755,0,0,1.97066,0
179,1638350252.840666112,1638350252.840666112,47.3664,1.95249,0.0106547,0,0,2.16104,0
180,1638350252.940648960,1638350252.940648960,47.5906,1.95512,0.0128097,0,0,2.32906,0
181,1638350253.040633600,1638350253.040633600,47.8317,1.95847,0.0149343,0,0,2.47931,0
182,1638350253.140617472,1638350253.140617472,48.0878,1.96261,0.017386,0,0,2.65276,0
183,1638350253.240612096,1638350253.240612096,48.3613,1.96775,0.0202252,0,0,2.81673,0
184,1638350253.340606464,1638350253.340606464,48.6511,1.97401,0.0229129,0,0,3.01195,0
185,1638350253.440631040,1638350253.440631040,48.961,1.98153,0.0256294,0,0,3.18269,0
186,1638350253.540678912,1638350253.540678912,49.2884,1.99041,0.0285946,0,0,3.35605,0
187,1638350253.640696576,1638350253.640696576,49.6331,2.00087,0.0320498,0,0,3.54659,0
188,1638350253.740742400,1638350253.740742400,49.997,2.01322,0.0357374,0,0,3.7033,0
189,1638350253.840802304,1638350253.840802304,50.376,2.02741,0.0390164,0,0,3.86928,0
190,1638350253.940853248,1638350253.940853248,50.7707,2.04333,0.0416334,0,0,3.99549,0
191,1638350254.040905216,1638350254.040905216,51.1779,2.06089,0.044523,0,0,4.03677,0
192,1638350254.140950784,1638350254.140950784,51.5876,2.07966,0.0470364,0,0,4.10682,0
193,1638350254.241009408,1638350254.241009408,52.0027,2.09962,0.0490786,0,0,4.19846,0
194,1638350254.341061120,1638350254.341061120,52.4255,2.12062,0.0502308,0,0,4.25061,0
195,1638350254.441059072,1638350254.441059072,52.8528,2.14219,0.0509085,0,0,4.36974,0
196,1638350254.541048064,1638350254.541048064,53.2937,2.16457,0.0506107,0,0,4.3899,0
197,1638350254.641026816,1638350254.641026816,53.7349,2.18691,0.050664,0,0,4.42464,0
198,1638350254.740999424,1638350254.740999424,54.1813,2.20936,0.0509641,0,0,4.51107,0
199,1638350254.840961280,1638350254.840961280,54.6349,2.2325,0.0509761,0,0,4.65148,0
200,1638350254.940920064,1638350254.940920064,55.1045,2.25624,0.0511241,0,0,4.79194,0
201,1638350255.040901376,1638350255.040901376,55.5825,2.28043,0.0512995,0,0,4.91372,0
202,1638350255.140888832,1638350255.140888832,56.0783,2.30588,0.0513192,0,0,4.96969,0
203,1638350255.240893440,1638350255.240893440,56.5799,2.33172,0.0518183,0,0,5.09948,0
204,1638350255.340910080,1638350255.340910080,57.0953,2.35845,0.0519056,0,0,5.23615,0
205,1638350255.440907520,1638350255.440907520,57.6241,2.38577,0.0514413,0,0,5.32475,0
206,1638350255.540911360,1638350255.540911360,58.159,2.41325,0.0509854,0,0,5.43725,0
207,1638350255.640903424,1638350255.640903424,58.7071,2.44082,0.0495108,0,0,5.49527,0
208,1638350255.740887040,1638350255.740887040,59.2615,2.46797,0.0484749,0,0,5.62827,0
209,1638350255.840853504,1638350255.840853504,59.8293,2.49553,0.0480222,0,0,5.70381,0
210,1638350255.940838656,1638350255.940838656,60.4105,2.52352,0.0481303,0,0,5.79046,0
211,1638350256.040817664,1638350256.040817664,60.9926,2.55115,0.0467497,0,0,5.89567,0
212,1638350256.140800256,1638350256.140800256,61.5842,2.57848,0.0455411,0,0,5.96282,0
213,1638350256.240785664,1638350256.240785664,62.1832,2.60548,0.0447176,0,0,5.97955,0
214,1638350256.340777216,1638350256.340777216,62.7844,2.63212,0.0438859,0,0,6.08836,0
215,1638350256.440769792,1638350256.440769792,63.3958,2.65865,0.0428486,0,0,6.07618,0
216,1638350256.540764160,1638350256.540764160,64.005,2.68432,0.041435,0,0,6.07003,0
217,1638350256.640755712,1638350256.640755712,64.6129,2.70914,0.0401675,0,0,6.16089,0
218,1638350256.740725248,1638350256.740725248,65.2293,2.73374,0.0395154,0,0,6.19937,0
219,1638350256.840683008,1638350256.840683008,65.8489,2.75782,0.0382297,0,0,6.28338,0
220,1638350256.940650496,1638350256.940650496,66.4771,2.78149,0.0369907,0,0,6.29489,0
221,1638350257.040610816,1638350257.040610816,67.1074,2.80449,0.0359516,0,0,6.34072,0
222,1638350257.140583936,1638350257.140583936,67.7429,2.82723,0.0355546,0,0,6.29258,0
223,1638350257.240573952,1638350257.240573952,68.3727,2.8495,0.0351032,0,0,6.3392,0
224,1638350257.340551680,1638350257.340551680,69.0074,2.8715,0.0341369,0,0,6.39351,0
225,1638350257.440524544,1638350257.440524544,69.6473,2.89315,0.0334391,0,0,6.43069,0
226,1638350257.540473344,1638350257.540473344,70.2905,2.91457,0.0329909,0,0,6.4771,0
227,1638350257.640449792,1638350257.640449792,70.9391,2.93597,0.0329993,0,0,6.46073,0
228,1638350257.740435712,1638350257.740435712,71.5859,2.95697,0.0318649,0,0,6.5368,0
229,1638350257.840387584,1638350257.840387584,72.24,2.97745,0.0306926,0,0,6.58332,0
230,1638350257.940353792,1638350257.940353792,72.899,2.99754,0.0303957,0,0,6.5978,0
